gardenQuantity, renewableQuantity, sewageQuantity
12.384604481410467, 108.83884798607802, 100.72482077679108
13.13529650007017, 115.4361078845193, 106.83024942827228
12.71160709095261, 111.71262464680468, 103.38435498227294
10.34295349594498, 90.89633382817759, 84.11993606622586
11.609627670125114, 102.02816755758074, 94.42188227439038
10.551817259062158, 92.73187822508044, 85.81863909209333
10.304855077630744, 90.56151587209048, 83.81007906898863
11.307073197516972, 99.3692469355186, 91.96118641006828
13.136058581080956, 115.4428052335877, 106.83644748436231
10.983853406539836, 96.52871458351198, 89.33241812226777
12.38998052791331, 108.88609396062387, 100.76854452439233
12.918640490398127, 113.53208337268603, 105.06817153735639
12.694812974561838, 111.56503396002422, 103.24776730471699
11.38738833643392, 100.07507546711874, 92.6143948338993
12.784333341015564, 112.35176021928748, 103.97584246290704
12.412339815916614, 109.08259269836888, 100.95039411678019
10.086197672590435, 88.63990262203195, 82.03172369500295
13.237445979744338, 116.33382179268665, 107.66103801325028
13.252943476194858, 116.4700174752274, 107.78708019366957
11.063905782740916, 97.23223389390675, 89.98348947926695
10.629056534279872, 93.41067533536314, 86.4468313096899
11.999262269928593, 105.45236903626191, 97.590806666974
12.782551165395782, 112.33609803632014, 103.96134790878827
13.334627967371954, 117.18788019998287, 108.45142565148424
11.770667234306886, 103.44342152649295, 95.73162787543312
12.789191979924361, 112.39445909290977, 104.01535809976426
13.279369313528278, 116.70225401509866, 108.00200330512465
12.847321306582455, 112.90531343284206, 104.48812782109856
11.64582913176488, 102.34631460750863, 94.71631119547514
11.294904546954216, 99.26230594190162, 91.86221795702896
10.264121264929521, 90.2035374437009, 83.47878823204309
10.142882116384726, 89.13805898791047, 82.49274208687667
10.251166969747667, 90.08969201842463, 83.37343007850328
10.43226360447633, 91.68121229084099, 84.84630118259906
11.630239307776906, 102.20930752862259, 94.5895181089872
10.912397430426223, 95.90074248043837, 88.75126186505521
11.56534251008303, 101.6389790446093, 94.0617080907896
10.13445657248773, 89.06401330540349, 82.42421657197261
11.189136058559649, 98.332787324866, 91.00199573084758
11.152265797859352, 98.00876270982155, 90.70212742204485
12.347065769238812, 108.50894886061329, 100.41951590723653
12.293021142036634, 108.03399183042704, 99.97996732116269
11.96197685096916, 105.12469591175365, 97.28756184814158
13.354457539232639, 117.3621471909565, 108.61270089242925
11.05137585331235, 97.12211789574154, 89.88158272092578
10.052053826557707, 88.33983838715112, 81.75402949996918
10.87599784675733, 95.5808542870252, 88.45522160418922
11.54597720379177, 101.46879212981506, 93.90420875293005
10.878187170131334, 95.60009458123508, 88.47302751836273
11.845173912529592, 104.09820392484899, 96.33759569797608
11.367048961976659, 99.896328209747, 92.4489733341659
11.051463381883993, 97.12288711763455, 89.88229459668287
11.891910369058365, 104.50893501401525, 96.71770644068643
10.78704495011259, 94.79911508733008, 87.73176171610261
10.700096235124498, 94.03498911242482, 87.02460197215652
12.42306406486883, 109.17683994730018, 101.03761515442407
11.423745012540866, 100.39458657867846, 92.91008612467961
11.746480238014682, 103.23086045386133, 95.5349134086677
10.095525316031345, 88.72187616975869, 82.10758604613947
10.345654333785951, 90.92006943310948, 84.14190216194473
12.717409237962007, 111.76361529388564, 103.43154423393774
11.647067816903846, 102.35720046694361, 94.72638550497841
12.886818615475978, 113.25242517185431, 104.80936208945468
12.290871292865788, 108.01509844489746, 99.96248245333702
12.48433124992083, 109.71527053266274, 101.53590528901206
10.168651317087056, 89.36452484898608, 82.70232472847007
10.25187493201275, 90.09591375909184, 83.37918798319652
12.223049989628029, 107.41906871101358, 99.41088723495717
12.52666962639728, 110.08735024891162, 101.88024615100504
11.681026533754636, 102.65563774256863, 95.00257403193055
11.812732815189317, 103.81310385021845, 96.07375007252179
12.851754415831145, 112.9442726506635, 104.5241825966248
11.028320103815151, 96.91949848884022, 89.69406876038987
10.209942284230596, 89.7273996830496, 83.03814693994855
11.8369268145936, 104.02572646786365, 96.27052149606851
13.320149816666799, 117.06064277014947, 108.33367387853542
10.302349377704514, 90.53949518553733, 83.78970004304809
10.335954987829933, 90.8348292753268, 84.0630167292659
10.272689598775026, 90.27883799821636, 83.54847506719712
10.62630733056879, 93.38651467966821, 86.42447185109812
11.660881008534965, 102.47859407837453, 94.83872912107759
10.540799317902884, 92.63504993922328, 85.72902943598662
11.156950808427746, 98.04993569631718, 90.74023092793779
10.343994649058406, 90.90548372921903, 84.12840383448672
12.43406586639064, 109.27352639418693, 101.12709354577436
10.27175201074884, 90.27059825177885, 83.54084960075272
12.167274254635966, 106.92889829408787, 98.95725943285802
12.914766965393268, 113.49804191421177, 105.03666789810215
10.957851664033589, 96.30020508978868, 89.12094420255097
12.436252506770654, 109.2927431096079, 101.14487763897738
13.31775460226373, 117.03959305663611, 108.3141934387819
12.927542937884867, 113.61032019729903, 105.14057574121472
12.795376757102805, 112.44881238486695, 104.06565930831543
10.615891074216949, 93.29497414291842, 86.33975573797726
13.37241432238494, 117.51995566960157, 108.75874461691461
12.811168997517962, 112.58759834742916, 104.19409866121266
12.2059827422607, 107.26907768428826, 99.27207816480819
11.389335952020344, 100.09219157583777, 92.63023492238811
10.258224719070503, 90.15171719709102, 83.43083122818855
13.026822047488919, 114.48280861100717, 105.94801941345773
10.760065979694396, 94.56201748243085, 87.51233993608582
12.419913717759625, 109.14915394807132, 101.01199316960933
12.55295246174686, 110.31833005335753, 102.09400621771255
11.991473254478665, 105.3839173170497, 97.52745808071924
11.960072312589967, 105.10795837577113, 97.27207210947493
11.80719450584605, 103.76443187126131, 96.02870663033157
